project_id,avg_utilization_pct
586,93
587,66
588,63
589,92
590,81
591,88
592,69
593,85
594,88
595,79
596,76
597,61
598,96
599,74
600,63
601,66
602,74
603,82
604,68
605,69
606,93
607,72
608,72
609,86
610,83
611,94
612,61
613,69
614,62
615,92
616,79
617,81
618,94
619,60
620,87
621,70
622,70
623,97
624,71
625,85
626,67
627,80
628,98
629,66
630,91
631,89
632,63
633,87
634,68
635,71
636,70
637,68
638,61
639,99
640,99
641,69
642,77
643,76
644,64
645,99
646,75
647,88
648,75
649,99
650,77
651,86
652,66
653,84
654,80
655,78
656,81
657,93
658,68
659,63
660,76
661,97
662,72
663,72
664,72
665,65
666,71
667,66
668,87
669,83
670,97
671,62
672,97
673,71
674,80
675,83
676,92
677,77
678,77
679,79
680,72
681,84
682,88
683,78
684,83
685,62
686,83
687,75
688,76
689,99
690,66
691,61
692,94
693,85
694,65
695,83
696,72
697,64
698,88
699,61
700,72
701,74
702,76
703,69
704,68
705,89
706,95
707,60
708,77
709,72
710,77
711,82
712,91
713,73
714,92
715,79
716,87
717,90
718,85
719,64
720,63
721,68
722,81
723,94
724,83
725,74
726,78
727,95
728,72
729,72
730,63
731,90
732,61
733,74
734,69
735,97
736,85
737,83
738,78
739,93
740,81
741,65
742,92
743,60
744,96
745,67
746,87
747,97
748,89
749,74
750,83
751,79
752,69
753,65
754,61
755,70
756,93
757,63
758,95
759,87
760,70
761,62
762,76
763,87
764,76
765,81
766,67
767,64
768,78
769,82
770,68
771,60
772,94
773,76
774,88
775,73
776,91
777,84
778,76
779,67
780,62
781,81
782,73
783,89
784,66
785,62
786,95
787,68
788,62
789,64
790,80
791,97
792,64
793,89
794,66
795,60
796,78
797,95
798,72
799,73
800,87
801,85
802,96
803,98
804,86
805,81
806,66
807,79
808,83
809,64
810,84
811,80
812,95
813,86
814,97
815,81
816,79
817,62
818,64
819,66
820,76
821,60
822,80
823,99
824,83
825,86
826,76
827,98
828,88
829,70
830,98
831,71
832,67
833,66
834,89
835,68
836,96
837,83
838,60
839,84
840,74
841,90
842,91
843,66
844,90
845,90
846,89
847,90
848,66
849,94
850,67
851,66
852,86
853,95
854,82
855,85
856,89
857,82
858,74
859,72
860,98
861,99
862,94
863,96
864,81
865,92
866,90
867,92
868,78
869,78
870,69
871,69
872,96
873,98
874,71
875,65
876,91
877,93
878,86
879,63
880,80
881,62
882,96
883,92
884,97
885,84
886,62
887,82
888,79
889,85
890,82
891,90
892,94
893,65
894,61
895,73
896,65
897,80
898,83
899,62
900,88
901,77
902,65
903,69
904,74
905,68
906,96
907,69
908,90
909,81
910,83
911,72
912,74
913,85
914,78
915,86
916,93
917,98
918,85
919,61
920,62
921,70
922,64
923,92
924,81
925,78
926,97
927,99
928,87
929,68
930,65
931,60
932,93
933,69
934,94
935,92
936,61
937,75
938,77
939,92
940,62
941,68
942,87
943,63
944,86
945,63
946,92
947,81
948,63
949,72
950,79
951,76
952,83
953,84
954,63
955,60
956,86
957,97
958,66
959,75
960,71
961,83
962,90
963,72
964,87
965,69
966,66
967,99
968,64
969,89
970,92
971,88
972,99
973,96
974,87
975,87
976,71
977,85
978,89
979,90
980,89
981,83
982,79
983,63
984,90
985,73
986,87
987,63
988,88
989,85
990,74
991,71
992,94
993,77
994,72
995,84
996,68
997,80
998,74
999,62
1000,99
